topic_id	initial_request	clarification_need	question_id	question	rank_label
108	tell me about of ralph owen brester .	1	Q03620	would you like to know the political positions ralph owen brewster held	0
108	tell me about of ralph owen brester .	1	Q03661	would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance	0
108	tell me about of ralph owen brester .	1	Q03665	would you like to know what political party ralph owen brewster was affiliated with	1
108	tell me about of ralph owen brester .	1	Q02547	how old is ralph owen brewseter	0
108	tell me about of ralph owen brester .	1	Q02649	may i provide you with information regarding when ralph owen brewster died and cause of death	0
108	tell me about of ralph owen brester .	1	Q02650	may i tell you about brewsters parents where and when he was born	0
108	tell me about of ralph owen brester .	1	Q02798	what is ralph owen brewser famous for	0
108	tell me about of ralph owen brester .	1	Q02799	what is ralph owen brewsters background	0
108	tell me about of ralph owen brester .	1	Q02800	what is ralph owen brewsters education	0
108	tell me about of ralph owen brester .	1	Q03107	who is ralph owen brewster	0
108	tell me about of ralph owen brester .	1	Q03371	would you like to know about brewsters college education degree and work history	0
108	tell me about of ralph owen brester .	1	Q00001	<None>	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q00256	are you interested in jobs at mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03020	which department are you interested in at mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03082	which treatments are you looking for at mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03553	would you like to know more about the mayo clinic facilities and services	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03575	would you like to know the address of mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03619	would you like to know the phone number of mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q03796	would you like to request an appointment	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q00588	are you located in jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q00671	are you looking for a specific doctor at mayo clinic jacksonville fl	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q00961	are you looking for outpatient services in mayo clinic	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q01423	are you wanting to visit this hospital because of a friend or family	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q02500	have you been to this clinic before	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q02588	is there a medical condition that you are looking heal	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q02628	is this an emergency	0
109	i am looking for information about mayo clinic jacksonville fl	2	Q02894	what time are you wanting to visit this clinic	1
109	i am looking for information about mayo clinic jacksonville fl	2	Q00001	<None>	0
11	how to prepare for the gmat ?	2	Q00006	any specific company on your mind	0
11	how to prepare for the gmat ?	2	Q02870	what score would you like to achieve on the gmat test	0
11	how to prepare for the gmat ?	2	Q02979	when do you want to take a gmat prep class	0
11	how to prepare for the gmat ?	2	Q03548	would you like to know more about the gmat test	0
11	how to prepare for the gmat ?	2	Q03652	would you like to know what distinguishes gmat from gre	0
11	how to prepare for the gmat ?	2	Q03827	would you like to see a price range for gmat prep classes	0
11	how to prepare for the gmat ?	2	Q03901	would you like to see the most effective methods of gmat prep	0
11	how to prepare for the gmat ?	2	Q00697	are you looking for a specific web site	0
11	how to prepare for the gmat ?	2	Q00733	are you looking for an online or inperson gmat prep class	0
11	how to prepare for the gmat ?	2	Q00846	are you looking for gmat prep classes near you	1
11	how to prepare for the gmat ?	2	Q00992	are you looking for reviews of gmat prep classes	0
11	how to prepare for the gmat ?	2	Q01019	are you looking for some sample tests	0
11	how to prepare for the gmat ?	2	Q01524	do you feel unprepared for the gmat test	0
11	how to prepare for the gmat ?	2	Q01962	do you want to know a list of top gmat prep classes	0
11	how to prepare for the gmat ?	2	Q02190	do you want to know the cost of a gmat prep class	0
11	how to prepare for the gmat ?	2	Q00001	<None>	0
111	i would like to learn about lymphoma in dogs	2	Q00505	are you interested in the treatment costs of lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q02196	do you want to know the cost of treatment	0
111	i would like to learn about lymphoma in dogs	2	Q02229	do you want to know the nearest vet that can help	0
111	i would like to learn about lymphoma in dogs	2	Q03074	which state of lymphoma in dogs are you referring to	0
111	i would like to learn about lymphoma in dogs	2	Q03408	would you like to know about risk factors of lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q01095	are you looking for the symptoms of lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q01111	are you looking for treatment options	0
111	i would like to learn about lymphoma in dogs	2	Q01235	are you referring to lymphoma in the eyes	0
111	i would like to learn about lymphoma in dogs	2	Q01236	are you referring to lymphoma in the mouth	0
111	i would like to learn about lymphoma in dogs	2	Q01630	do you need help finding a vet that treats lymphoma in dogs	1
111	i would like to learn about lymphoma in dogs	2	Q01658	do you need information on the prognosis of lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q02001	do you want to know about the latest research in lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q02008	do you want to know about the symptoms of lymphoma in dogs	0
111	i would like to learn about lymphoma in dogs	2	Q00001	<None>	0
112	is kenmore heater good	2	Q00064	are you iinterested in a kenmore gas water heater	0
112	is kenmore heater good	2	Q03257	would you like reviews on the kenmore gas water heater	0
112	is kenmore heater good	2	Q03466	would you like to know how much a kenmore gas water heater is	0
112	is kenmore heater good	2	Q03626	would you like to know the size of this product	0
112	is kenmore heater good	2	Q03722	would you like to know who carries this product	0
112	is kenmore heater good	2	Q00681	are you looking for a specific model or part	0
112	is kenmore heater good	2	Q01075	are you looking for the instruction of the kenmore sears gas water heaters	0
112	is kenmore heater good	2	Q01168	are you looking to purchase or repair a unit	0
112	is kenmore heater good	2	Q01344	are you troubleshooting or trying to repair the unit	0
112	is kenmore heater good	2	Q01921	do you want to compare different models	0
112	is kenmore heater good	2	Q02874	what size are you looking for	0
112	is kenmore heater good	2	Q02973	what year model are you looking for	0
112	is kenmore heater good	2	Q03244	would you like me to find the nearest kenmore store for you	1
112	is kenmore heater good	2	Q00001	<None>	0
113	tell me more about hp mini 2140	2	Q01086	are you looking for the nearest store you can buy hp mini 2140	0
113	tell me more about hp mini 2140	2	Q02417	do you want to read reviews of hp mini 2140	0
113	tell me more about hp mini 2140	2	Q02512	how do you intend to use hp mini 2140	0
113	tell me more about hp mini 2140	2	Q02927	what type of problem are you having with the hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01379	are you trying to know the warranty period of hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01649	do you need information on accessories for the hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01686	do you need technical specifications for the hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01859	do you want reviews of the hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01909	do you want to buy a hp mini 2140	0
113	tell me more about hp mini 2140	2	Q01926	do you want to download drivers for the hp mini 2140	0
113	tell me more about hp mini 2140	2	Q02238	do you want to know the price of hp mini 2140	0
113	tell me more about hp mini 2140	2	Q02246	do you want to know the specs of hp mini 2140	0
113	tell me more about hp mini 2140	2	Q00001	<None>	1
115	tell me about the pacific northwest laboratory .	2	Q00690	are you looking for a specific representative in relation to the company	0
115	tell me about the pacific northwest laboratory .	2	Q01652	do you need information on employment opportunities	0
115	tell me about the pacific northwest laboratory .	2	Q01684	do you need stock price values for the company	0
115	tell me about the pacific northwest laboratory .	2	Q01692	do you need the address or location for the company	0
115	tell me about the pacific northwest laboratory .	2	Q01748	do you seek further information on lab breeders	0
115	tell me about the pacific northwest laboratory .	2	Q02600	is there a specific representative that you need contact information for	0
115	tell me about the pacific northwest laboratory .	2	Q02615	is there any specific information that you would like to know about employment requirements at pnl	0
115	tell me about the pacific northwest laboratory .	2	Q00697	are you looking for a specific web site	0
115	tell me about the pacific northwest laboratory .	2	Q00738	are you looking for any specific facilities	1
115	tell me about the pacific northwest laboratory .	2	Q00918	are you looking for jobs in richland	0
115	tell me about the pacific northwest laboratory .	2	Q00925	are you looking for lab jobs	0
115	tell me about the pacific northwest laboratory .	2	Q00988	are you looking for research papers	0
115	tell me about the pacific northwest laboratory .	2	Q01266	are you referring to the lab in seattle	0
115	tell me about the pacific northwest laboratory .	2	Q01284	are you referring to the specific company	0
115	tell me about the pacific northwest laboratory .	2	Q01601	do you need any specific information about pnl	0
115	tell me about the pacific northwest laboratory .	2	Q00001	<None>	0
116	what is california franchise tax board	2	Q00929	are you looking for legal forms	0
116	what is california franchise tax board	2	Q02471	do you wish to do an entity search	0
116	what is california franchise tax board	2	Q00967	are you looking for payment information	1
116	what is california franchise tax board	2	Q01382	are you trying to login to the boards website	0
116	what is california franchise tax board	2	Q01683	do you need specific forms to fill out	0
116	what is california franchise tax board	2	Q01780	do you want a phone number	0
116	what is california franchise tax board	2	Q01796	do you want contact information for the board	0
116	what is california franchise tax board	2	Q01835	do you want information on the tax board	0
116	what is california franchise tax board	2	Q02172	do you want to know the address	0
116	what is california franchise tax board	2	Q02260	do you want to know their hours of operation	0
116	what is california franchise tax board	2	Q00001	<None>	0
117	what are specific dangers of asbestos ?	2	Q00033	are you asking about the dangers of asbestos siding	1
117	what are specific dangers of asbestos ?	2	Q02774	what exactly do you wanto to know about the dangers of asbestos	0
117	what are specific dangers of asbestos ?	2	Q02822	what kind of information are you looking for news or research on the dangers of asbestos	0
117	what are specific dangers of asbestos ?	2	Q03386	would you like to know about health problems that arise from exposure to asbestos	0
117	what are specific dangers of asbestos ?	2	Q03424	would you like to know about the dangers of asbestos removal	0
117	what are specific dangers of asbestos ?	2	Q03714	would you like to know whether asbestos exposure cause cancer	0
117	what are specific dangers of asbestos ?	2	Q00142	are you interested in asnestos exposure	0
117	what are specific dangers of asbestos ?	2	Q00283	are you interested in learning about the symptoms associated with asbestos poisioning	0
117	what are specific dangers of asbestos ?	2	Q00461	are you interested in the levels of dangers associated with asbsestos	0
117	what are specific dangers of asbestos ?	2	Q01020	are you looking for some statistics regarding the exposure of asbestos	0
117	what are specific dangers of asbestos ?	2	Q01201	are you referring of the dangers of asbestos in new or old houses	0
117	what are specific dangers of asbestos ?	2	Q01297	are you requesting information about the dangers of asbestos or the symptoms of associated with asbestos exposure	0
117	what are specific dangers of asbestos ?	2	Q01539	do you have any type of asbestos in mind when you ask about the dangers of asbestos	0
117	what are specific dangers of asbestos ?	2	Q02343	do you want to know whether living in a home with asbestos insulation can cause people to become sick	0
117	what are specific dangers of asbestos ?	2	Q00001	<None>	0
119	how to write a thank you letter after an interview ?	1	Q00194	are you interested in example of thank you letters for interview	0
119	how to write a thank you letter after an interview ?	1	Q03161	would you like a list of common interview questions	0
119	how to write a thank you letter after an interview ?	1	Q03562	would you like to know more about writing interview thank you letters	1
119	how to write a thank you letter after an interview ?	1	Q03563	would you like to know more information about writing a thank you email	0
119	how to write a thank you letter after an interview ?	1	Q00251	are you interested in interview thank you letters	0
119	how to write a thank you letter after an interview ?	1	Q00291	are you interested in learning how to write a thank you letter after an interview	0
119	how to write a thank you letter after an interview ?	1	Q00731	are you looking for an interview preparation guide	0
119	how to write a thank you letter after an interview ?	1	Q01196	are you preparing to conduct an interview or go to an interview	0
119	how to write a thank you letter after an interview ?	1	Q01565	do you like to know more about writing thank you notes for an interview	0
119	how to write a thank you letter after an interview ?	1	Q01808	do you want guidelines on how to ace an inteview	0
119	how to write a thank you letter after an interview ?	1	Q01897	do you want tips on how to be successful in an interview	0
119	how to write a thank you letter after an interview ?	1	Q02696	what about an interview do you need help with	0
119	how to write a thank you letter after an interview ?	1	Q00001	<None>	0
12	how to hire disc jockey	2	Q00024	are you a dj	0
12	how to hire disc jockey	2	Q01949	do you want to go to a djs website	0
12	how to hire disc jockey	2	Q02239	do you want to know the price to hire a dj	0
12	how to hire disc jockey	2	Q02586	is there a certain type of dj you are looking for	1
12	how to hire disc jockey	2	Q03475	would you like to know how to become a dj	0
12	how to hire disc jockey	2	Q03781	would you like to read about dj employment	0
12	how to hire disc jockey	2	Q00811	are you looking for djs in your area	0
12	how to hire disc jockey	2	Q00802	are you looking for different kinds of djs	0
12	how to hire disc jockey	2	Q00810	are you looking for djs	0
12	how to hire disc jockey	2	Q00991	are you looking for reviews of djs	0
12	how to hire disc jockey	2	Q01154	are you looking to find a djs website	0
12	how to hire disc jockey	2	Q01679	do you need recommendations for djs	0
12	how to hire disc jockey	2	Q01705	do you need to book a dj for an event	0
12	how to hire disc jockey	2	Q00001	<None>	0
120	tv on computer	3	Q00163	are you interested in buying a tv with a computer included	0
120	tv on computer	3	Q00956	are you looking for netflix	0
120	tv on computer	3	Q01938	do you want to find online tv streaming services	0
120	tv on computer	3	Q02084	do you want to know how to display your computer on a tv	0
120	tv on computer	3	Q02170	do you want to know technical information about tv on computer	0
120	tv on computer	3	Q02296	do you want to know what sites you can watch tv on the computer at	0
120	tv on computer	3	Q02411	do you want to purchase streaming services	0
120	tv on computer	3	Q03083	which tv and computer information would you like to know more about	0
120	tv on computer	3	Q03494	would you like to know how to watch tv on your computer	0
120	tv on computer	3	Q00001	<None>	1
122	tell me more about culpeper national cemetry	3	Q01091	are you looking for the records for culpeper national cemetary	0
122	tell me more about culpeper national cemetry	3	Q03634	would you like to know the way to culpeper national cemetary	0
122	tell me more about culpeper national cemetry	3	Q03862	would you like to see news about culpeper national cemetary	0
122	tell me more about culpeper national cemetry	3	Q03883	would you like to see services for the culpeper national cemetary today	0
122	tell me more about culpeper national cemetry	3	Q03720	would you like to know who are buried at culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q01102	are you looking for things to do near culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q01616	do you need directions to culpeper national cemetery	1
122	tell me more about culpeper national cemetry	3	Q01688	do you need the address of culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q02210	do you want to know the history of culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q02243	do you want to know the size of culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q02459	do you want to visit culpeper national cemetery	0
122	tell me more about culpeper national cemetry	3	Q02943	what would you like to know about culpeper national cemetary	0
122	tell me more about culpeper national cemetry	3	Q03602	would you like to know the history of culpeper national cemetary	0
122	tell me more about culpeper national cemetry	3	Q00001	<None>	0
124	tell me about bowflex power pro .	2	Q00357	are you interested in purchasing it online	0
124	tell me about bowflex power pro .	2	Q03760	would you like to learn more about how to exercise with the bowflex power pro	0
124	tell me about bowflex power pro .	2	Q03832	would you like to see an instruction manual	0
124	tell me about bowflex power pro .	2	Q03884	would you like to see some different exercises which can be done with this equipment	0
124	tell me about bowflex power pro .	2	Q03888	would you like to see some reviews	0
124	tell me about bowflex power pro .	2	Q03889	would you like to see specs on this equipment	0
124	tell me about bowflex power pro .	2	Q00554	are you interested in where the bowflex power pro is produced	0
124	tell me about bowflex power pro .	2	Q00747	are you looking for any specific information on bowflex power pro	0
124	tell me about bowflex power pro .	2	Q01439	are you wondering if there has been a recall notice	0
124	tell me about bowflex power pro .	2	Q01916	do you want to buy some parts for this equipment	0
124	tell me about bowflex power pro .	2	Q01988	do you want to know about reviews on the bowflex power pro	0
124	tell me about bowflex power pro .	2	Q02106	do you want to know how to use the bowflex power pro	1
124	tell me about bowflex power pro .	2	Q03606	would you like to know the history of the bowflex power pro	0
124	tell me about bowflex power pro .	2	Q03705	would you like to know where to buy one	0
124	tell me about bowflex power pro .	2	Q00001	<None>	0
125	butter and margarine	3	Q00504	are you interested in the the nutritional value of butter and margarine	0
125	butter and margarine	3	Q03594	would you like to know the differences between butter and margarine	0
125	butter and margarine	3	Q03848	would you like to see how these fats effect human arteries	0
125	butter and margarine	3	Q03874	would you like to see recipes with butter and margarine	0
125	butter and margarine	3	Q03372	would you like to know about butter and margarine making process	0
125	butter and margarine	3	Q00773	are you looking for butter and margarine comparison	0
125	butter and margarine	3	Q00852	are you looking for health facts of butter and mararine	0
125	butter and margarine	3	Q01053	are you looking for the brands of butter and margarine	0
125	butter and margarine	3	Q01071	are you looking for the history of butter and margarine	0
125	butter and margarine	3	Q01174	are you looking to subsitute butter and margarine	0
125	butter and margarine	3	Q01176	are you looking to use butter and margarine in baking	0
125	butter and margarine	3	Q03447	would you like to know how butter and margarine affect the food you eat	0
125	butter and margarine	3	Q03448	would you like to know how butter and margarine are used in recipes	1
125	butter and margarine	3	Q00001	<None>	0
127	i am looking for information on duchess county tourism	3	Q00434	are you interested in the farm fresh tours	1
127	i am looking for information on duchess county tourism	3	Q02987	where in specific in dutchess county were you curious about	0
127	i am looking for information on duchess county tourism	3	Q02698	what activities in dutchess county were you interested in	0
127	i am looking for information on duchess county tourism	3	Q00632	are you looking for a job in dutchess county in regards to tourism	0
127	i am looking for information on duchess county tourism	3	Q00911	are you looking for information related to tourism	0
127	i am looking for information on duchess county tourism	3	Q01321	are you seeking an event calendar for dutchess county	0
127	i am looking for information on duchess county tourism	3	Q01495	did you want to know about the dutchess county tourism center	0
127	i am looking for information on duchess county tourism	3	Q01503	did you want to know the amount of tourism dutchess county gets	0
127	i am looking for information on duchess county tourism	3	Q01763	do you want a job in dutchess county	0
127	i am looking for information on duchess county tourism	3	Q02402	do you want to move to dutchess county	0
127	i am looking for information on duchess county tourism	3	Q02903	what tourist spots are you looking for in dutchess county	0
127	i am looking for information on duchess county tourism	3	Q00001	<None>	0
129	tell me information about iowa's food stamp program	2	Q00237	are you interested in how much you can get from this program	0
129	tell me information about iowa's food stamp program	2	Q01704	do you need to apply for food stamps in iowa	0
129	tell me information about iowa's food stamp program	2	Q02657	regarding food stamps in iowa are you looking for eligibility information	0
129	tell me information about iowa's food stamp program	2	Q03189	would you like a website about this topic	0
129	tell me information about iowa's food stamp program	2	Q03204	would you like directions to the nearest iowa food stamp office	0
129	tell me information about iowa's food stamp program	2	Q00490	are you interested in the requirements for applying to the program or the poverty level limits	0
129	tell me information about iowa's food stamp program	2	Q00697	are you looking for a specific web site	0
129	tell me information about iowa's food stamp program	2	Q00729	are you looking for an application on this topic	0
129	tell me information about iowa's food stamp program	2	Q00949	are you looking for more information on food stamps in iowa	0
129	tell me information about iowa's food stamp program	2	Q00987	are you looking for requirements to become a food assistance	0
129	tell me information about iowa's food stamp program	2	Q01205	are you referring to a federally funded food stamp program or one that is funded by the state government	0
129	tell me information about iowa's food stamp program	2	Q01206	are you referring to a food stamp program that is current or a historical one	0
129	tell me information about iowa's food stamp program	2	Q01681	do you need requirements for food stamps in iowa	0
129	tell me information about iowa's food stamp program	2	Q00001	<None>	1
13	map	3	Q00168	are you interested in cartography	0
13	map	3	Q01788	do you want a tourist map	0
13	map	3	Q01896	do you want themed maps	0
13	map	3	Q02860	what place do you want a map of	0
13	map	3	Q03182	would you like a map with services or sites of interest listed	0
13	map	3	Q03845	would you like to see google maps homepage	0
13	map	3	Q00378	are you interested in satellite maps	1
13	map	3	Q00715	are you looking for a world atlas	0
13	map	3	Q01186	are you on a road trip	0
13	map	3	Q01341	are you traveling	0
13	map	3	Q01545	do you have map apps on your phone	0
13	map	3	Q01740	do you need traveling assistance or direction	0
13	map	3	Q01749	do you study road maps	0
13	map	3	Q01776	do you want a map of your local area	0
13	map	3	Q01777	do you want a map with driving directions	0
13	map	3	Q00001	<None>	0
131	what is equal opportunity employer ?	2	Q00696	are you looking for a specific web page	0
131	what is equal opportunity employer ?	2	Q03607	would you like to know the history of the equal opportunity employer act	0
131	what is equal opportunity employer ?	2	Q03669	would you like to know what the equal opportunity employer act is	0
131	what is equal opportunity employer ?	2	Q03850	would you like to see how to meet the legal requirement to be an equal opportunity employer	0
131	what is equal opportunity employer ?	2	Q03856	would you like to see jobs around you that are equal opportunity employers	0
131	what is equal opportunity employer ?	2	Q03899	would you like to see the legal definition of equal opportunity employer	0
131	what is equal opportunity employer ?	2	Q00754	are you looking for anything specific in terms of equal opportunity discrimination	0
131	what is equal opportunity employer ?	2	Q01029	are you looking for specific information regarding an equal opportunity employer	0
131	what is equal opportunity employer ?	2	Q01637	do you need information about a specific employer	1
131	what is equal opportunity employer ?	2	Q02269	do you want to know what being an equal opportunity employer means	0
131	what is equal opportunity employer ?	2	Q02763	what do you need to know about equal opportunity employment	0
131	what is equal opportunity employer ?	2	Q02793	what information would you like in regards to an equal opportunity employer	0
131	what is equal opportunity employer ?	2	Q03508	would you like to know if you are eligible for equal opportunity employment	0
131	what is equal opportunity employer ?	2	Q03509	would you like to know if your company adheres to equal opportunity employment	0
131	what is equal opportunity employer ?	2	Q00001	<None>	0
132	i am interested in mothers day songs	2	Q00374	are you interested in remembrance songs	0
132	i am interested in mothers day songs	2	Q01865	do you want songs that were released on mothers day in a specific year	0
132	i am interested in mothers day songs	2	Q02583	is there a certain genre of music you prefer	0
132	i am interested in mothers day songs	2	Q02584	is there a certain melody you are interested in	0
132	i am interested in mothers day songs	2	Q02851	what mothers day song are you looking for	0
132	i am interested in mothers day songs	2	Q03411	would you like to know about specific artists related to mothers day	0
132	i am interested in mothers day songs	2	Q00590	are you looking album called mothers days songs	0
132	i am interested in mothers day songs	2	Q00652	are you looking for a particular artist	0
132	i am interested in mothers day songs	2	Q00657	are you looking for a playlist of mothers days songs	0
132	i am interested in mothers day songs	2	Q00682	are you looking for a specific mothers day song	0
132	i am interested in mothers day songs	2	Q00748	are you looking for any specific lyrics	0
132	i am interested in mothers day songs	2	Q01271	are you referring to the movie	0
132	i am interested in mothers day songs	2	Q01402	are you wanting the titles of mothers day songs	1
132	i am interested in mothers day songs	2	Q01534	do you have an artist that you want to hear in mothers day songs	0
132	i am interested in mothers day songs	2	Q00001	<None>	0
135	tell me about source of the nile	4	Q00476	are you interested in the origin of the nile	0
135	tell me about source of the nile	4	Q03042	which nile are you interested in learning about	0
135	tell me about source of the nile	4	Q03056	which part of the river are you more interested in	1
135	tell me about source of the nile	4	Q03673	would you like to know what the nile is composed of	0
135	tell me about source of the nile	4	Q01277	are you referring to the nile river	0
135	tell me about source of the nile	4	Q01760	do you want a history of the nile	0
135	tell me about source of the nile	4	Q01772	do you want a map	0
135	tell me about source of the nile	4	Q02007	do you want to know about the source of the video game	0
135	tell me about source of the nile	4	Q02228	do you want to know the name of the source	0
135	tell me about source of the nile	4	Q02276	do you want to know what country the source is in	0
135	tell me about source of the nile	4	Q02328	do you want to know where the nile is located	0
135	tell me about source of the nile	4	Q02612	is there any specific information about the river that would interest you	0
135	tell me about source of the nile	4	Q00001	<None>	0
136	tell me about american military university .	2	Q00302	are you interested in learning more about tuition costs for the american military university	0
136	tell me about american military university .	2	Q02760	what degree in particular would you like to know more about from the american military unviersity	0
136	tell me about american military university .	2	Q03147	would you be interested in learning more about the history of the american military university	0
136	tell me about american military university .	2	Q03482	would you like to know how to get to the american military university	0
136	tell me about american military university .	2	Q03532	would you like to know more about its history	0
136	tell me about american military university .	2	Q03790	would you like to read some reviews about american military university	0
136	tell me about american military university .	2	Q00696	are you looking for a specific web page	0
136	tell me about american military university .	2	Q01250	are you referring to the american military university as in the actual school	0
136	tell me about american military university .	2	Q01338	are you talking about the navel academy	0
136	tell me about american military university .	2	Q01400	are you wanting information about west point	0
136	tell me about american military university .	2	Q01411	are you wanting to know its location	1
136	tell me about american military university .	2	Q01414	are you wanting to know more about the entrance requirements	0
136	tell me about american military university .	2	Q02165	do you want to know more about the the curriculum	0
136	tell me about american military university .	2	Q02689	were you interested in applying to the american military university or just recieving an informational brochure	0
136	tell me about american military university .	2	Q00001	<None>	0
137	tell me about rock and gem shows	2	Q00047	are you curious about rock and gem shows	0
137	tell me about rock and gem shows	2	Q03170	would you like a list of rock and gem shows in 2018	0
137	tell me about rock and gem shows	2	Q03171	would you like a list of rock and gem shows in 2019	0
137	tell me about rock and gem shows	2	Q03202	would you like directions to local rock and gem shows	1
137	tell me about rock and gem shows	2	Q03409	would you like to know about rock and gem shows in washington	0
137	tell me about rock and gem shows	2	Q03738	would you like to learn about rock and gem shows in california	0
137	tell me about rock and gem shows	2	Q03739	would you like to learn about rock and gem shows in oregon	0
137	tell me about rock and gem shows	2	Q00204	are you interested in finding rock and gem shows near you	0
137	tell me about rock and gem shows	2	Q00634	are you looking for a list of clubs that host rock and gem shows	0
137	tell me about rock and gem shows	2	Q00881	are you looking for information about upcoming rock and gem shows	0
137	tell me about rock and gem shows	2	Q00926	are you looking for lapidary classes	0
137	tell me about rock and gem shows	2	Q02445	do you want to see the nearest rock and gem shows	0
137	tell me about rock and gem shows	2	Q02824	what kind of information do you need about rock and gem shows	0
137	tell me about rock and gem shows	2	Q02843	what local rock and gem shows are you looking for from this list	0
137	tell me about rock and gem shows	2	Q02951	what would you like to know about rock and gem shows	0
137	tell me about rock and gem shows	2	Q00001	<None>	0
138	i am looking for information on jax chemical company	3	Q00122	are you interested in a specific type of product	0
138	i am looking for information on jax chemical company	3	Q01732	do you need to know who the ceo of jax chemical company is	0
138	i am looking for information on jax chemical company	3	Q01762	do you want a jax chemical company coupon	0
138	i am looking for information on jax chemical company	3	Q03771	would you like to place an order	0
138	i am looking for information on jax chemical company	3	Q03907	would you like to see their homepage	0
138	i am looking for information on jax chemical company	3	Q00906	are you looking for information on the origins of the company	0
138	i am looking for information on jax chemical company	3	Q01018	are you looking for some retailers	0
138	i am looking for information on jax chemical company	3	Q01609	do you need contact information	0
